"index","page_name","d_year","d_month","City","Country","Users","Sessions","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"573","Visit Kosice","2021","05","Novy Bor","Czechia","1","1","Point","101841123","101841123","locality","Nový Bor","Liberec","Czechia","14.550271","50.760273","0.6","Novy Bor, Czechia","753.81","516","14.550166","50.760328"
"609","Visit Kosice","2021","06","Novy Bor","Czechia","1","1","Point","101841123","101841123","locality","Nový Bor","Liberec","Czechia","14.550271","50.760273","0.6","Novy Bor, Czechia","753.81","516","14.550166","50.760328"
"370","Visit Kosice","2021","02","Novy Jicin","Czechia","1","2","Point","101840907","101840907","locality","Nový Jičín","Moravian-Silesian","Czechia","18.013409","49.593925","0.6","Novy Jicin, Czechia","352.91","284","18.013468","49.593923"
"285","Visit Kosice","2021","03","Novy Jicin","Czechia","1","1","Point","101840907","101840907","locality","Nový Jičín","Moravian-Silesian","Czechia","18.013409","49.593925","0.6","Novy Jicin, Czechia","352.91","284","18.013468","49.593923"
"315","Visit Kosice","2021","04","Novy Jicin","Czechia","1","1","Point","101840907","101840907","locality","Nový Jičín","Moravian-Silesian","Czechia","18.013409","49.593925","0.6","Novy Jicin, Czechia","352.91","284","18.013468","49.593923"
"247","Visit Kosice","2021","12","Novy Jicin","Czechia","1","1","Point","101840907","101840907","locality","Nový Jičín","Moravian-Silesian","Czechia","18.013409","49.593925","0.6","Novy Jicin, Czechia","352.91","284","18.013468","49.593923"
"634","Visit Kosice","2021","07","Nymburk","Czechia","1","1","Point","101824207","101824207","locality","Nymburk","Central Bohemian","Czechia","15.040198","50.18498","0.6","Nymburk, Czechia","618.65","486","15.040204","50.184981"
"592","Visit Kosice","2021","08","Nymburk","Czechia","1","1","Point","101824207","101824207","locality","Nymburk","Central Bohemian","Czechia","15.040198","50.18498","0.6","Nymburk, Czechia","618.65","486","15.040204","50.184981"
"379","Visit Kosice","2021","09","Nymburk","Czechia","2","2","Point","101824207","101824207","locality","Nymburk","Central Bohemian","Czechia","15.040198","50.18498","0.6","Nymburk, Czechia","618.65","486","15.040204","50.184981"
"880","Visit Kosice","2021","08","Odry","Czechia","1","1","Point","101825401","101825401","locality","Odry","Moravian-Silesian","Czechia","17.831281","49.664846","0.6","Odry, Czechia","370.67","304","17.831056","49.664766"
"108","Visit Kosice","2021","01","Olomouc","Czechia","3","3","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"97","Visit Kosice","2021","02","Olomouc","Czechia","4","4","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"286","Visit Kosice","2021","03","Olomouc","Czechia","1","1","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"136","Visit Kosice","2021","04","Olomouc","Czechia","3","3","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"220","Visit Kosice","2021","05","Olomouc","Czechia","2","2","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"259","Visit Kosice","2021","06","Olomouc","Czechia","2","2","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"195","Visit Kosice","2021","07","Olomouc","Czechia","5","7","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"141","Visit Kosice","2021","08","Olomouc","Czechia","9","9","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"144","Visit Kosice","2021","09","Olomouc","Czechia","8","9","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"241","Visit Kosice","2021","10","Olomouc","Czechia","2","2","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"92","Visit Kosice","2021","11","Olomouc","Czechia","4","4","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
"371","Visit Kosice","2021","02","Opava","Czechia","1","1","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"287","Visit Kosice","2021","03","Opava","Czechia","1","1","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"165","Visit Kosice","2021","05","Opava","Czechia","3","4","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"421","Visit Kosice","2021","06","Opava","Czechia","1","1","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"629","Visit Kosice","2021","07","Opava","Czechia","1","1","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"587","Visit Kosice","2021","08","Opava","Czechia","1","3","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"293","Visit Kosice","2021","09","Opava","Czechia","3","4","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"179","Visit Kosice","2021","11","Opava","Czechia","2","2","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"108","Visit Kosice","2021","12","Opava","Czechia","3","3","Point","101748117","101748117","locality","Opava","Moravian-Silesian","Czechia","17.898508","49.940163","0.6","Opava, Czechia","376.12","312","17.898449","49.940165"
"280","Visit Kosice","2021","01","Orlova","Czechia","1","2","Point","101846675","101846675","locality","Orlová","Moravian-Silesian","Czechia","18.427063","49.872058","0.6","Orlova, Czechia","337.69","286","18.427107","49.8721"
"372","Visit Kosice","2021","02","Orlova","Czechia","1","1","Point","101846675","101846675","locality","Orlová","Moravian-Silesian","Czechia","18.427063","49.872058","0.6","Orlova, Czechia","337.69","286","18.427107","49.8721"
"288","Visit Kosice","2021","03","Orlova","Czechia","1","1","Point","101846675","101846675","locality","Orlová","Moravian-Silesian","Czechia","18.427063","49.872058","0.6","Orlova, Czechia","337.69","286","18.427107","49.8721"
"109","Visit Kosice","2021","01","Ostrava","Czechia","3","3","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"193","Visit Kosice","2021","02","Ostrava","Czechia","2","2","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"79","Visit Kosice","2021","03","Ostrava","Czechia","5","5","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"137","Visit Kosice","2021","04","Ostrava","Czechia","3","3","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"166","Visit Kosice","2021","05","Ostrava","Czechia","3","3","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"85","Visit Kosice","2021","06","Ostrava","Czechia","9","10","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"115","Visit Kosice","2021","07","Ostrava","Czechia","9","13","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
