"page_name","page_id","id_var_native","name_var_native","year_native","month_native","origin_city","origin_region","origin_country","val","value_source","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Frýdek-Místek",NULL,"Czechia","1","Facebook Graph API","Point","101748127","101748127","locality","Frýdek-Místek","Moravian-Silesian","Czechia","18.348434","49.678504","0.6","Frýdek-Místek, Czechia","324.39","260","18.348947","49.678683"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","12","Frýdek-Místek",NULL,"Czechia","4","Facebook Graph API","Point","101748127","101748127","locality","Frýdek-Místek","Moravian-Silesian","Czechia","18.348434","49.678504","0.6","Frýdek-Místek, Czechia","324.39","260","18.348947","49.678683"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","6","Havirov",NULL,"Czechia","1","Facebook Graph API","Point","101748121","101748121","locality","Havířov","Moravian-Silesian","Czechia","18.440965","49.781706","0.6","Havirov, Czechia","324.2","270","18.441053","49.781638"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","6","Havirov",NULL,"Czechia","1","Facebook Graph API","Point","101748121","101748121","locality","Havířov","Moravian-Silesian","Czechia","18.440965","49.781706","0.6","Havirov, Czechia","324.2","270","18.441053","49.781638"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Hradec Králové",NULL,"Czechia","1","Facebook Graph API","Point","101748133","101748133","locality","Hradec Králové","Hradec Králové","Czechia","15.8399","50.206544","0.6","Hradec Králové, Czechia","559.71","459","15.839568","50.206707"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","12","Jablonec nad Nisou",NULL,"Czechia","1","Facebook Graph API","Point","101822991","101822991","locality","Jablonec nad Nisou","Liberec","Czechia","15.165147","50.725208","0.6","Jablonec nad Nisou, Czechia","730.85","507","15.16512","50.725117"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","1","Kaplice",NULL,"Czechia","1","Facebook Graph API","Point","101782293","101782293","locality","Kaplice","South Bohemian","Czechia","14.489495","48.739386","0.6","Kaplice, Czechia","716.65","464","14.48937","48.739296"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","12","Kaznejov",NULL,"Czechia","4","Facebook Graph API","Point","101825221","101825221","locality","Kaznějov","Plzeň","Czechia","13.379604","49.894173","0.6","Kaznejov, Czechia","764.26","526","13.379474","49.894333"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Kladno",NULL,"Czechia","1","Facebook Graph API","Point","101748131","101748131","locality","Kladno","Central Bohemian","Czechia","14.11218","50.138492","0.6","Kladno, Czechia","691.93","480","14.11215","50.13848"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Klobuky",NULL,"Czechia","1","Facebook Graph API","Point","1126016533","1126016533","locality","Klobuky","Central Bohemian","Czechia","13.98748","50.29401","0.6","Klobuky, Czechia","711.43","493","13.987559","50.294016"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Kobeřice u Brna",NULL,"Czechia","1","Facebook Graph API","Point","11926079","11926079","locality","Kobeřice u Brna","South Moravian","Czechia","16.89321","49.08516","0.6","Kobeřice u Brna, Czechia","443.55","346","16.897792","49.086547"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","11","Kobeřice u Brna",NULL,"Czechia","2","Facebook Graph API","Point","11926079","11926079","locality","Kobeřice u Brna","South Moravian","Czechia","16.89321","49.08516","0.6","Kobeřice u Brna, Czechia","443.55","346","16.897792","49.086547"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Kourim",NULL,"Czechia","1","Facebook Graph API","Point","9803452659","9803452659","venue","Kouřim - Stará Kouřim","Central Bohemian","Czechia","14.989342","50.000094","0.8","Kourim, Czechia","640.35","469","14.990283","50.000455"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Kralupy nad Vltavou",NULL,"Czechia","1","Facebook Graph API","Point","101841015","101841015","locality","Kralupy nad Vltavou","Central Bohemian","Czechia","14.316212","50.245732","0.6","Kralupy nad Vltavou, Czechia","703.1","494","14.31635","50.245829"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Kromeriz",NULL,"Czechia","1","Facebook Graph API","Point","101831961","101831961","locality","Kroměříž","Zlín","Czechia","17.398333","49.29912","0.6","Kromeriz, Czechia","404.08","316","17.398259","49.299048"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Liberec",NULL,"Czechia","1","Facebook Graph API","Point","101748147","101748147","locality","Liberec","Liberec","Czechia","15.058495","50.763071","0.6","Liberec, Czechia","720.63","495","15.058187","50.763811"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Liberec",NULL,"Czechia","1","Facebook Graph API","Point","101748147","101748147","locality","Liberec","Liberec","Czechia","15.058495","50.763071","0.6","Liberec, Czechia","720.63","495","15.058187","50.763811"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Litomerice",NULL,"Czechia","2","Facebook Graph API","Point","101841087","101841087","locality","Litoměřice","Ústecký","Czechia","14.127631","50.53623","0.6","Litomerice, Czechia","728.17","516","14.127784","50.53634"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Melnik",NULL,"Czechia","1","Facebook Graph API","Point","101824199","101824199","locality","Mělník","Central Bohemian","Czechia","14.473546","50.359445","0.6","Melnik, Czechia","706.71","505","14.473538","50.359448"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Mladá Boleslav",NULL,"Czechia","2","Facebook Graph API","Point","101841001","101841001","locality","Mladá Boleslav","Central Bohemian","Czechia","14.91097","50.420438","0.6","Mladá Boleslav, Czechia","708.8","504","14.910958","50.420441"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Mladá Boleslav",NULL,"Czechia","1","Facebook Graph API","Point","101841001","101841001","locality","Mladá Boleslav","Central Bohemian","Czechia","14.91097","50.420438","0.6","Mladá Boleslav, Czechia","708.8","504","14.910958","50.420441"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Nezvestice",NULL,"Czechia","1","Facebook Graph API","Point","101826471","101826471","locality","Nezvěstice","Plzeň","Czechia","13.522503","49.641144","0.6","Nezvestice, Czechia","756.3","513","13.522385","49.641112"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Nymburk",NULL,"Czechia","1","Facebook Graph API","Point","101824207","101824207","locality","Nymburk","Central Bohemian","Czechia","15.040198","50.18498","0.6","Nymburk, Czechia","618.65","486","15.040204","50.184981"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","2","Olomouc",NULL,"Czechia","37","Facebook Graph API","Point","101748129","101748129","locality","Olomouc","Olomouc","Czechia","17.260292","49.59372","0.6","Olomouc, Czechia","417.8","327","17.260978","49.593584"
